,City,City Lat,City Long,Max Temp,Humidity,Cloud Coverage,Wind Speed,City Country,City Datetime
0,Bluff,-46.6,168.3333,53.01,88,100,4.0,NZ,1618367277
1,Port Elizabeth,-33.918,25.5701,66.2,94,90,10.36,ZA,1618367278
2,Rikitea,-23.1203,-134.9692,77.7,66,7,6.82,PF,1618367278
3,Zhigansk,66.7697,123.3711,19.54,87,100,21.0,RU,1618367279
4,Bandarbeyla,9.4942,50.8122,78.49,75,72,5.41,SO,1618367279
5,Mataura,-46.1927,168.8643,53.01,88,100,4.0,NZ,1618367280
6,New Norfolk,-42.7826,147.0587,64.99,73,87,5.99,AU,1618367280
7,Ushuaia,-54.8,-68.3,46.4,76,90,18.41,AR,1618367281
8,Caramay,10.1815,119.236,85.5,64,95,3.74,PH,1618367281
9,Shache,38.4167,77.2406,57.36,31,70,3.51,CN,1618367282
10,Buala,-8.145,159.5921,85.87,62,24,3.8,SB,1618367282
11,Kapaa,22.0752,-159.319,78.8,57,20,17.27,US,1618367204
12,Korla,41.7597,86.1469,57.85,28,0,2.95,CN,1618367283
13,Strathblane,55.986,-4.3066,34.0,93,8,1.14,GB,1618367283
14,Saskylakh,71.9167,114.0833,23.05,82,97,3.76,RU,1618367284
15,Port Alfred,-33.5906,26.891,69.31,89,66,7.52,ZA,1618367285
16,Mastung,29.7994,66.845,62.78,28,75,3.53,PK,1618367285
17,Arraial do Cabo,-22.9661,-42.0278,75.2,64,75,9.22,BR,1618367286
18,Albany,42.6001,-73.9662,57.99,82,99,2.71,US,1618367231
19,Port Hardy,50.6996,-127.4199,53.6,62,75,9.22,CA,1618367286
20,Udachny,66.4167,112.4,23.81,82,32,5.06,RU,1618367287
21,Kumul,42.8,93.45,56.79,17,0,4.45,CN,1618367287
22,Pevek,69.7008,170.3133,-1.01,83,83,1.32,RU,1618367287
23,Vila Franca do Campo,37.7167,-25.4333,60.8,94,75,10.36,PT,1618367288
24,Vaini,-21.2,-175.2,80.6,74,20,6.91,TO,1618367288
25,Lukovetskiy,64.2956,41.9211,42.8,75,20,6.71,RU,1618367288
26,Iqaluit,63.7506,-68.5145,12.2,79,20,31.07,CA,1618367289
27,Qaanaaq,77.484,-69.3632,-11.36,94,98,5.03,GL,1618367289
28,Sinnamary,5.3833,-52.95,77.76,87,45,9.13,GF,1618367290
29,Tutóia,-2.7619,-42.2744,78.19,89,100,11.83,BR,1618367290
30,Atuona,-9.8,-139.0333,81.05,72,100,16.73,PF,1618367291
31,Limbang,4.75,115.0,86.0,74,75,3.44,MY,1618367291
32,George Town,5.4112,100.3354,86.0,83,20,1.14,MY,1618367291
33,Mahabalipuram,12.6264,80.1722,82.4,78,40,2.3,IN,1618367292
34,São João da Barra,-21.6403,-41.0511,71.78,75,42,13.44,BR,1618367292
35,Los Llanos de Aridane,28.6585,-17.9182,68.0,77,0,5.75,ES,1618367293
36,Ponta do Sol,32.6667,-17.1,62.6,88,20,8.5,PT,1618367293
37,Vardø,70.3705,31.1107,31.24,64,100,7.76,NO,1618367294
38,East London,-33.0153,27.9116,71.01,78,61,4.47,ZA,1618367294
39,Talnakh,69.4865,88.3972,19.94,94,100,6.13,RU,1618367295
40,Boshnyakovo,49.6333,142.1667,27.73,65,100,19.44,RU,1618367296
41,Tiksi,71.6872,128.8694,21.38,75,90,8.12,RU,1618367297
42,Linxia Chengguanzhen,35.6003,103.2064,41.79,69,100,1.99,CN,1618367297
43,Klaksvík,62.2266,-6.589,39.2,93,75,1.14,FO,1618367298
44,Ormara,25.2088,64.6357,78.58,64,8,6.02,PK,1618367298
45,Santa Maria,-29.6842,-53.8069,62.6,94,0,8.05,BR,1618367299
46,Lebu,-37.6167,-73.65,57.27,94,26,9.28,CL,1618367299
47,Busselton,-33.65,115.3333,64.99,73,84,1.01,AU,1618367300
48,Khatanga,71.9667,102.5,23.29,92,100,13.73,RU,1618367300
49,Ugoofaaru,5.6667,73.0,83.08,68,84,3.27,MV,1618367301
50,Krasne,49.9145,24.6134,37.4,93,75,6.71,UA,1618367301
51,Upernavik,72.7868,-56.1549,4.17,96,100,9.46,GL,1618367302
52,Kenai,60.5544,-151.2583,46.4,70,75,10.36,US,1618367302
53,Jamestown,42.097,-79.2353,46.4,61,1,8.05,US,1618367303
54,Esperance,-33.8667,121.9,62.6,72,90,6.91,AU,1618367304
55,Yabrūd,33.9674,36.6574,37.99,47,0,4.0,SY,1618367304
56,Draguignan,43.5333,6.4667,46.4,93,97,1.14,FR,1618367304
57,Hilo,19.7297,-155.09,73.4,78,90,4.61,US,1618367305
58,Makakilo City,21.3469,-158.0858,80.6,44,20,8.05,US,1618367016
59,Ostrovnoy,68.0531,39.5131,32.13,81,100,25.26,RU,1618367305
60,Fonte Boa,-2.4959,-66.2662,74.3,98,100,4.25,BR,1618367306
61,Bengkulu,-3.8004,102.2655,78.75,83,100,2.53,ID,1618367306
62,Jaisalmer,26.9147,70.9181,79.7,19,27,11.34,IN,1618367307
63,Nanortalik,60.1432,-45.2371,35.06,75,0,4.07,GL,1618367307
64,Bredasdorp,-34.5322,20.0403,62.6,88,0,2.13,ZA,1618367308
65,Standish,43.9831,-83.9589,46.99,61,1,14.97,US,1618367308
66,Ketchikan,55.3422,-131.6461,46.4,61,90,5.75,US,1618367097
67,Yarmouth,41.7057,-70.2286,43.0,93,1,6.04,US,1618367309
68,Dikson,73.5069,80.5464,-1.8,93,76,11.61,RU,1618367309
69,Puerto Ayora,-0.7393,-90.3518,75.99,95,16,5.01,EC,1618367309
70,Hamilton,39.1834,-84.5333,57.2,47,90,3.44,US,1618367019
71,Khani,41.9563,42.9566,41.0,100,90,4.61,GE,1618367310
72,Bambous Virieux,-20.3428,57.7575,79.0,88,40,8.05,MU,1618367310
73,Kavieng,-2.5744,150.7967,84.16,67,18,8.32,PG,1618367311
74,Jumla,29.2747,82.1838,57.47,32,20,1.79,NP,1618367311
75,Raudeberg,61.9875,5.1352,37.0,93,100,12.01,NO,1618367312
76,Marzuq,14.4,46.4667,66.92,53,2,5.37,YE,1618367312
77,Nola,40.922,14.5329,48.99,81,0,5.75,IT,1618367313
78,Loei,17.4167,101.5,88.0,78,20,3.44,TH,1618367313
79,Tuktoyaktuk,69.4541,-133.0374,21.2,79,20,5.75,CA,1618367314
80,Antalaha,-14.9003,50.2788,73.31,90,100,5.5,MG,1618367314
81,Mahanoro,-19.9,48.8,72.12,92,83,7.14,MG,1618367315
82,Salalah,17.0151,54.0924,77.0,73,0,4.61,OM,1618367300
83,Hofn,64.2539,-15.2082,40.21,50,10,7.76,IS,1618367315
84,Narsaq,60.9167,-46.05,33.8,69,0,3.44,GL,1618367316
85,Podor,16.6527,-14.9587,87.51,12,83,17.36,MR,1618367316
86,Fortuna,40.5982,-124.1573,54.0,66,1,11.5,US,1618367317
87,Cherskiy,68.75,161.3,7.83,70,60,2.64,RU,1618367317
88,Punta Arenas,-53.15,-70.9167,51.8,71,0,14.97,CL,1618367317
89,Tasiilaq,65.6145,-37.6368,28.4,80,38,8.05,GL,1618367318
90,Nuevitas,21.5453,-77.2644,71.6,83,1,8.05,CU,1618367318
91,Varca,15.2167,73.9167,80.6,69,20,2.3,IN,1618367319
92,Waipawa,-41.4122,175.5153,62.6,72,75,14.97,NZ,1618367319
93,Cape Town,-33.9258,18.4232,63.0,94,75,10.36,ZA,1618367265
94,Guerrero Negro,27.9769,-114.0611,58.95,75,29,16.69,MX,1618367320
95,Kruisfontein,-34.0033,24.7314,66.0,95,29,1.99,ZA,1618367321
96,São Filipe,14.8961,-24.4956,76.62,60,0,9.46,CV,1618367321
97,Saint Paul Harbor,57.79,-152.4072,39.2,81,90,11.5,US,1618367321
98,Hithadhoo,-0.6,73.0833,82.51,64,73,5.88,MV,1618367322
99,Siniscola,40.5719,9.6922,44.6,87,0,5.75,IT,1618367322
100,Manaure,11.7751,-72.4445,80.22,82,100,12.93,CO,1618367323
101,Puerto Limón,10.0,-83.0333,78.71,81,100,1.01,CR,1618367323
102,Laas,46.6166,10.7002,23.0,58,0,3.44,IT,1618367324
103,Ribeira Grande,38.5167,-28.7,61.07,92,92,12.48,PT,1618367324
104,Tahe,52.3333,124.7333,29.44,37,75,5.84,CN,1618367325
105,Marawi,7.9986,124.2928,84.0,79,68,4.0,PH,1618367326
106,Saint-Philippe,-21.3585,55.7679,78.8,73,0,6.91,RE,1618367326
107,Jinka,5.65,36.65,60.44,93,70,2.01,ET,1618367327
108,Yellowknife,62.456,-114.3525,35.6,75,90,4.16,CA,1618367327
109,Geraldton,-28.7667,114.6,68.14,44,0,15.03,AU,1618367328
110,Enid,36.3956,-97.8784,53.6,43,100,9.22,US,1618367329
111,Finnsnes,69.2296,17.9811,30.2,93,100,14.97,NO,1618367329
112,Clyde River,70.4692,-68.5914,-2.2,78,90,11.5,CA,1618367329
113,Bathsheba,13.2167,-59.5167,78.8,73,40,13.8,BB,1618367330
114,Anito,12.4497,125.2886,81.64,82,100,6.15,PH,1618367330
115,San Cristobal,7.7669,-72.225,86.0,54,40,6.91,VE,1618367331
116,Hobart,-42.8794,147.3294,64.99,39,40,26.46,AU,1618367219
117,Kununurra,-15.7667,128.7333,93.2,26,23,8.05,AU,1618367332
118,Kristinestad,62.2743,21.376,32.07,90,11,7.49,FI,1618367332
119,Asău,46.4333,26.4,44.01,59,100,2.91,RO,1618367332
120,Saint George,37.1041,-113.5841,75.99,13,1,20.71,US,1618367333
121,Chokurdakh,70.6333,147.9167,10.89,80,10,5.03,RU,1618367334
122,Saldanha,-33.0117,17.9442,60.8,72,3,5.75,ZA,1618367334
123,Chui,-33.6971,-53.4616,58.51,77,0,3.2,UY,1618367334
124,Longyearbyen,78.2186,15.6401,5.0,61,20,14.97,SJ,1618367335
125,Butaritari,3.0707,172.7902,82.45,76,84,10.87,KI,1618367336
126,Belaya Gora,68.5333,146.4167,10.56,76,14,1.39,RU,1618367336
127,Pierre,44.3683,-100.351,42.01,48,90,19.57,US,1618367336
128,Chifeng,42.2683,118.9636,49.93,16,67,9.44,CN,1618367337
129,Daru,-9.0763,143.2092,84.22,62,99,11.81,PG,1618367338
130,Whitehorse,60.7161,-135.0538,41.0,52,75,13.8,CA,1618367338
131,Outjo,-20.1167,16.15,62.15,45,0,10.58,NA,1618367338
132,Norman Wells,65.282,-126.8329,39.2,45,20,8.05,CA,1618367339
133,Ampanihy,-24.7,44.75,67.6,95,1,5.14,MG,1618367339
134,Gachalá,4.6924,-73.5204,57.2,72,20,8.05,CO,1618367340
135,Constitución,-35.3333,-72.4167,57.29,85,36,9.17,CL,1618367107
136,Hermanus,-34.4187,19.2345,65.41,75,0,5.97,ZA,1618367340
137,Alekseyevsk,57.8406,108.3492,31.51,85,100,8.57,RU,1618367341
138,Hillsborough,37.5741,-122.3794,55.0,81,75,8.05,US,1618367341
139,Voyvozh,62.892,54.9635,42.26,97,100,7.43,RU,1618367342
140,Shimoda,34.6667,138.95,66.2,100,75,16.11,JP,1618367342
141,College,64.8569,-147.8028,46.4,36,75,0.83,US,1618367344
142,Rawlins,41.7911,-107.2387,28.0,74,90,18.41,US,1618367054
143,Muisne,0.6,-80.0333,77.99,84,100,6.26,EC,1618367345
144,Neryungri,56.6709,124.6491,16.92,80,62,2.19,RU,1618367346
145,Rūdbār,30.15,62.6,74.1,29,64,2.28,AF,1618367346
146,Bethel,41.3712,-73.414,51.8,62,1,2.1,US,1618367347
147,Wentzville,38.8114,-90.8529,57.2,35,1,4.61,US,1618367347
148,Torbay,47.6666,-52.7314,36.0,93,90,17.27,CA,1618367348
149,Cidreira,-30.1811,-50.2056,69.03,63,0,9.26,BR,1618367348
150,Nizhnevartovsk,60.9344,76.5531,35.6,80,90,6.71,RU,1618367053
151,Ahipara,-35.1667,173.1667,63.23,78,69,21.92,NZ,1618367349
152,Aquiraz,-3.9014,-38.3911,82.4,83,40,3.44,BR,1618367350
153,Vestmanna,62.1564,-7.1664,39.2,93,75,1.14,FO,1618367351
154,Coquimbo,-29.9533,-71.3436,55.4,94,75,3.44,CL,1618367353
155,Port Lincoln,-34.7333,135.8667,63.05,59,99,15.68,AU,1618367353
156,Ilulissat,69.2167,-51.1,24.8,86,90,12.66,GL,1618367353
157,Fatehpur,25.9333,80.8,89.26,11,0,4.16,IN,1618367354
158,Husavik,66.0449,-17.3389,41.0,65,0,16.11,IS,1618367355
159,Byron Bay,-28.65,153.6167,75.2,43,0,9.22,AU,1618367290
160,Provideniya,64.3833,-173.3,21.2,73,90,13.42,RU,1618367355
161,Kudahuvadhoo,2.6708,72.8944,82.74,69,97,8.21,MV,1618367356
162,Vao,-22.6667,167.4833,75.67,83,75,20.8,NC,1618367356
163,Yulara,-25.2406,130.9889,77.0,50,90,13.8,AU,1618367357
164,Hay River,60.8156,-115.7999,46.4,42,100,8.05,CA,1618367237
165,Vitória do Mearim,-3.4622,-44.8706,74.55,96,100,2.91,BR,1618367358
166,Kaffrine,14.1059,-15.5508,76.21,36,0,7.09,SN,1618367359
167,Aripuanã,-9.1667,-60.6333,73.9,93,5,2.06,BR,1618367360
168,Barrow,71.2906,-156.7887,8.6,72,1,9.22,US,1618367360
169,Inírida,3.8653,-67.9239,74.41,98,100,1.03,CO,1618367361
170,Souillac,-20.5167,57.5167,77.0,88,40,8.05,MU,1618367361
171,Kragerø,58.8693,9.4149,34.0,69,22,5.01,NO,1618367362
172,Kroonstad,-27.6504,27.2349,62.02,43,4,4.81,ZA,1618367362
173,Linhares,-19.3911,-40.0722,73.51,73,3,10.11,BR,1618367362
174,Gaoua,10.2992,-3.2508,84.27,48,94,9.57,BF,1618367363
175,Cabo San Lucas,22.8909,-109.9124,73.4,60,20,5.75,MX,1618367174
176,Bosaso,11.2842,49.1816,77.67,70,88,9.91,SO,1618367365
177,Nautla,20.2167,-96.7833,76.86,91,4,9.13,MX,1618367366
178,Yumen,40.2833,97.2,50.72,18,2,22.32,CN,1618367367
179,Deputatsky,69.3,139.9,5.27,79,5,4.12,RU,1618367367
180,Poronaysk,49.2167,143.1167,33.98,51,62,21.3,RU,1618367368
181,Vilyuysk,63.7553,121.6247,23.61,82,100,10.4,RU,1618367369
182,Castro,-24.7911,-50.0119,56.79,97,31,6.69,BR,1618367369
183,Airai,-8.9266,125.4092,72.43,51,2,3.49,TL,1618367370
184,Cullen,57.6904,-2.8182,36.0,74,0,3.44,GB,1618367370
185,Coyhaique,-45.5752,-72.0662,53.98,98,100,4.5,CL,1618367371
186,Livingston,55.9029,-3.5226,36.0,100,0,1.14,GB,1618367371
187,Sabha,27.0377,14.4283,65.52,51,30,19.57,LY,1618367372
188,Roald,62.5833,6.1333,35.6,93,40,9.22,NO,1618367372
189,Santa Cruz,30.4202,-9.5982,64.4,94,75,3.44,MA,1618367373
190,Sola,-13.8833,167.55,82.09,77,54,15.37,VU,1618367373
191,Khor,47.8861,134.9464,32.4,31,100,18.72,RU,1618367374
192,Mayo,38.8876,-76.5119,53.6,87,1,1.7,US,1618367375
193,Srednekolymsk,67.45,153.6833,14.23,68,29,6.71,RU,1618367376
194,Mar del Plata,-38.0023,-57.5575,66.0,88,0,6.91,AR,1618367376
195,Del Rio,29.3627,-100.8968,69.8,52,90,9.22,US,1618367376
196,Kavaratti,10.5669,72.642,82.08,71,31,1.36,IN,1618367377
197,Isangel,-19.55,169.2667,83.01,74,51,3.65,VU,1618367378
198,Abhā,18.2164,42.5053,59.0,72,0,1.92,SA,1618367379
199,Chul'man,56.8479,124.9104,16.02,82,67,1.48,RU,1618367379
200,Codrington,-38.2667,141.9667,63.09,61,25,22.44,AU,1618367380
201,Tigil',57.8,158.6667,29.61,74,100,10.92,RU,1618367381
202,Carberry,49.8689,-99.3602,24.8,74,90,18.41,CA,1618367381
203,Neuchâtel,46.9918,6.931,33.8,86,0,8.05,CH,1618367381
204,San Patricio,28.017,-97.5169,75.2,88,20,5.75,US,1618367382
205,Innisfail,-17.5333,146.0333,78.04,79,50,8.12,AU,1618367382
206,Fort Nelson,58.8053,-122.7002,51.8,28,75,3.44,CA,1618367228
207,Panambi,-28.2925,-53.5017,66.2,77,0,9.22,BR,1618367338
208,Guatire,10.4762,-66.5427,84.2,70,75,1.14,VE,1618367383
209,Shubarshi,48.5872,57.1869,44.44,95,16,12.95,KZ,1618367383
210,Aguadilla,18.4275,-67.1541,78.01,94,1,3.44,PR,1618367384
211,Benguela,-12.5763,13.4055,78.44,89,38,2.46,AO,1618367384
212,Dekar,-21.5333,21.9333,60.1,45,0,7.11,BW,1618367385
213,Bud,39.447,-86.1758,53.01,51,66,6.71,US,1618367385
214,Kyren,51.6828,102.1408,31.1,71,100,2.26,RU,1618367386
215,Cabras,39.93,8.5314,42.01,84,100,1.99,IT,1618367386
216,Hong Kong,22.2855,114.1577,82.4,65,40,14.97,HK,1618367172
217,Leningradskiy,69.3833,178.4167,6.58,83,96,8.75,RU,1618367387
218,Baruun-Urt,46.6806,113.2792,43.79,26,9,7.2,MN,1618367387
219,Evensk,61.95,159.2333,12.85,66,3,4.34,RU,1618367388
220,Dalmatovo,56.26,62.9362,44.85,93,100,7.85,RU,1618367388
221,The Valley,18.217,-63.0578,81.0,83,20,1.14,AI,1618367171
222,Rognan,67.0953,15.3878,35.01,92,99,7.72,NO,1618367389
223,Lüderitz,-26.6481,15.1594,77.32,27,0,6.35,NA,1618367389
224,Alofi,-19.0595,-169.9187,82.4,65,40,8.05,NU,1618367390
225,Oudtshoorn,-33.5907,22.2014,55.4,94,0,3.44,ZA,1618367390
226,Cockburn Town,21.4612,-71.1419,76.26,74,9,15.79,TC,1618367391
227,Myitkyina,25.3833,97.4,88.18,27,11,1.57,MM,1618367391
228,Taoudenni,22.6783,-3.9836,90.14,10,99,9.33,ML,1618367392
229,Nouadhibou,20.931,-17.0347,69.8,60,83,11.5,MR,1618367393
230,Uglegorsk,49.0833,142.0333,31.78,59,100,19.35,RU,1618367393
231,Maibong,25.3,93.1667,84.27,31,0,4.52,IN,1618367394
232,Muli,2.9167,73.5667,83.21,69,94,8.77,MV,1618367394
233,Ancud,-41.8697,-73.8203,57.99,100,40,4.43,CL,1618367395
234,Calvinia,-31.4707,19.776,71.89,26,9,2.8,ZA,1618367395
235,Flinders,-34.5833,150.8552,73.99,50,54,4.0,AU,1618367395
236,Yerofey Pavlovich,53.9667,121.9667,28.71,48,100,2.75,RU,1618367396
237,Havre de Grace,39.5493,-76.0916,53.01,93,1,2.48,US,1618367289
238,Mahébourg,-20.4081,57.7,77.0,88,40,8.05,MU,1618367396
239,Tura,25.5198,90.2201,82.94,40,0,7.07,IN,1618367397
240,Huarmey,-10.0681,-78.1522,69.06,83,100,8.39,PE,1618367397
241,Westport,41.1415,-73.3579,48.2,71,1,3.71,US,1618367254
242,Pisco,-13.7,-76.2167,66.2,82,0,11.5,PE,1618367398
243,Ibanda,-2.7974,32.4746,61.99,94,100,2.26,TZ,1618367399
244,Reconquista,-29.15,-59.65,63.16,74,94,4.7,AR,1618367399
245,Hasaki,35.7333,140.8333,69.8,88,75,13.8,JP,1618367399
246,Mehrān,33.1222,46.1646,50.0,50,0,4.61,IR,1618367400
247,San Andrés,12.5847,-81.7006,82.4,78,40,13.8,CO,1618367401
248,Aykhal,66.0,111.5,22.21,88,82,10.89,RU,1618367401
249,Thompson,55.7435,-97.8558,23.0,54,20,6.91,CA,1618367402
250,Ivaiporã,-24.2478,-51.6847,62.74,96,12,5.28,BR,1618367403
251,Aklavik,68.2191,-135.0107,37.4,48,98,6.91,CA,1618367404
252,Honiara,-9.4333,159.95,85.82,67,100,5.14,SB,1618367406
253,Karaton,-6.3424,106.1045,89.01,70,20,3.44,ID,1618367406
254,Luganville,-15.5333,167.1667,85.14,71,42,10.31,VU,1618367406
255,Shetpe,44.1667,52.1167,55.78,31,96,8.88,KZ,1618367407
256,Oranjemund,-28.55,16.4333,73.0,43,0,3.24,NA,1618367407
257,Iquique,-20.2208,-70.1431,64.4,82,90,2.3,CL,1618367408
258,Lavrentiya,65.5833,-171.0,28.08,87,100,6.2,RU,1618367408
259,Hirtshals,57.5881,9.9592,28.4,100,6,4.27,DK,1618367409
260,Santa Rosalía,27.3167,-112.2833,68.83,41,95,6.2,MX,1618367409
261,Point Fortin,10.1833,-61.6833,81.0,91,83,1.01,TT,1618367306
262,Buraidah,26.326,43.975,69.8,64,100,12.66,SA,1618367410
263,Lakshmīpur,22.95,90.8333,87.8,53,1,7.16,BD,1618367410
264,Pandan,14.0453,124.1694,81.75,82,96,9.33,PH,1618367412
265,Martapura,-3.4167,114.85,84.2,74,20,5.75,ID,1618367412
266,Guadalupe y Calvo,26.1,-106.9667,46.74,35,5,3.89,MX,1618367413
267,Vitim,59.4511,112.5578,31.77,86,99,9.57,RU,1618367413
268,Dakar,14.6937,-17.4441,71.6,60,1,23.02,SN,1618367414
269,Christchurch,-43.5333,172.6333,66.2,48,75,11.5,NZ,1618367195
270,Avarua,-21.2078,-159.775,82.4,65,40,6.91,CK,1618367415
271,Diffa,13.3154,12.6113,78.01,14,2,7.7,NE,1618367416
272,Sittwe,20.15,92.9,83.82,62,2,3.24,MM,1618367416
273,Beloha,-25.1667,45.05,69.67,92,5,8.21,MG,1618367417
274,Comrat,46.3003,28.6572,43.09,91,62,8.66,MD,1618367417
275,Mehamn,71.0357,27.8492,28.22,69,100,13.53,NO,1618367418
276,Miran Shah,33.0086,70.0697,71.98,42,94,1.9,PK,1618367418
277,Honningsvåg,70.9821,25.9704,30.99,78,100,23.06,NO,1618367419
278,San Pedro de Macorís,18.4616,-69.2972,79.0,94,40,4.61,DO,1618367420
279,Faanui,-16.4833,-151.75,82.13,74,100,13.47,PF,1618367420
280,Merauke,-8.4667,140.3333,86.85,53,100,9.46,ID,1618367421
281,Vila Velha,-20.3297,-40.2925,75.2,69,75,12.66,BR,1618367280
282,Methóni,36.8197,21.7049,55.0,75,8,3.44,GR,1618367422
283,Nova Prata,-28.7839,-51.61,51.96,98,2,2.26,BR,1618367423
284,Paso de Carrasco,-34.8603,-56.0522,64.4,77,0,5.68,UY,1618367423
285,Grindavik,63.8424,-22.4338,39.2,100,40,8.05,IS,1618367424
286,Mayumba,-3.432,10.6554,77.31,89,100,2.82,GA,1618367424
287,Acaraú,-2.8856,-40.12,78.15,87,35,9.31,BR,1618367425
288,Termoli,41.9888,14.9895,42.01,78,100,5.99,IT,1618367425
289,Colares,38.7992,-9.4469,61.0,88,95,3.47,PT,1618367426
