,City,City Lat,City Long,Max Temp,Humidity,Cloud Coverage,Wind Speed,City Country,City Datetime
290,Ciudad Bolivar,8.1222,-63.5497,84.2,65,100,11.3,VE,1618367427
291,Novy Urengoy,66.0833,76.6333,19.24,94,53,9.73,RU,1618367427
292,Maşyāf,35.0653,36.3406,42.01,69,0,1.43,SY,1618367428
293,Kaitangata,-46.2817,169.8464,57.0,82,100,8.01,NZ,1618367428
294,Dalvik,65.9702,-18.5286,41.0,65,0,16.11,IS,1618367429
295,Kahului,20.8947,-156.47,78.8,53,40,17.27,US,1618367430
296,Wanning,18.8003,110.3967,82.72,65,79,8.32,CN,1618367430
297,Brest,52.1,23.7,35.28,96,100,14.34,BY,1618367411
298,Būgai,55.4167,22.6167,32.11,90,83,5.26,LT,1618367431
299,Black River,18.0264,-77.8487,80.6,78,20,3.44,JM,1618367432
300,Sumbe,-11.2061,13.8437,77.85,78,68,6.67,AO,1618367432
301,Hualmay,-11.0964,-77.6139,67.71,85,97,8.75,PE,1618367433
302,Ranot,7.7777,100.3213,82.15,74,100,2.71,TH,1618367433
303,Kuznetsk,53.1167,46.6004,44.11,73,6,6.2,RU,1618367434
304,Okhotsk,59.3833,143.3,21.34,65,100,9.69,RU,1618367435
305,Verkh-Usugli,52.7,115.1667,38.48,36,81,13.33,RU,1618367436
306,Nishihara,26.1842,127.7558,71.6,73,75,17.27,JP,1618367436
307,Talara,-4.5772,-81.2719,70.75,78,68,13.35,PE,1618367437
308,Ibrā’,22.6906,58.5334,78.75,32,43,1.59,OM,1618367437
309,Glyadyanskoye,54.9075,65.0883,41.88,82,59,11.07,RU,1618367438
310,Brigantine,39.4101,-74.3646,48.99,71,1,3.44,US,1618367438
311,Coihueco,-36.6167,-71.8333,59.0,82,1,3.44,CL,1618367439
312,Palmer,42.1584,-72.3287,57.2,54,75,4.61,US,1618367441
313,Chebenki,51.9337,55.7077,39.2,93,0,8.95,RU,1618367442
314,Guantánamo,20.1444,-75.2092,82.4,65,75,14.97,CU,1618367443
315,Fairbanks,64.8378,-147.7164,46.4,36,1,1.03,US,1618367443
316,Potosí,-19.5836,-65.7531,42.44,82,100,4.5,BO,1618367444
317,Richards Bay,-28.783,32.0377,69.04,95,4,5.53,ZA,1618367444
318,Labé,11.3182,-12.2833,69.93,70,100,3.31,GN,1618367445
319,Khagaria,25.5,86.4833,95.05,8,0,7.96,IN,1618367445
320,Caravelas,-17.7125,-39.2481,72.95,89,2,7.87,BR,1618367445
321,Umeå,63.8284,20.2597,25.0,93,18,4.61,SE,1618367446
322,Fukuechō,32.6881,128.8419,55.4,67,75,14.97,JP,1618367446
323,Omboué,-1.5746,9.2618,76.8,90,100,3.13,GA,1618367447
324,Nikolskoye,59.7035,30.7861,39.99,75,90,6.71,RU,1618367447
325,Murgab,37.4966,61.9714,51.8,66,0,5.35,TM,1618367448
326,Jieshi,22.8134,115.8257,79.0,75,87,16.84,CN,1618367435
327,Dingle,10.9995,122.6711,89.13,56,42,7.76,PH,1618367448
328,Te Anau,-45.4167,167.7167,57.07,70,64,0.31,NZ,1618367449
329,Qaryat Sulūq,31.6682,20.2521,66.87,23,87,7.67,LY,1618367450
330,Las Cruces,32.3123,-106.7783,72.0,24,1,17.27,US,1618367417
331,Huancavelica,-12.7667,-74.9833,39.06,81,83,1.57,PE,1618367450
332,High Level,58.5169,-117.136,46.4,39,40,4.61,CA,1618367451
333,Taltal,-25.4,-70.4833,62.65,83,38,1.92,CL,1618367421
334,Barcelos,41.5388,-8.6151,57.2,88,75,4.32,PT,1618367452
335,West Bay,19.3667,-81.4167,80.6,78,0,4.61,KY,1618367453
336,Carnarvon,-24.8667,113.6333,75.76,39,0,21.97,AU,1618367453
337,Aitape,-3.1374,142.3475,85.51,67,60,7.18,PG,1618367454
338,Krasnoarmiys'k,48.282,37.1758,46.38,77,98,1.81,UA,1618367454
339,Luanda,-8.8368,13.2343,77.0,88,75,6.91,AO,1618367195
340,Høyanger,61.2204,6.0749,33.8,80,90,8.05,NO,1618367455
341,Behbahān,30.5959,50.2417,68.0,56,0,6.91,IR,1618367456
342,Karonga,-9.9333,33.9333,71.53,89,100,5.95,MW,1618367456
343,Tucumã,-0.1833,-50.05,76.08,91,84,3.38,BR,1618367457
344,Dauphin,51.1494,-100.0502,23.0,86,90,12.66,CA,1618367458
345,Verāval,20.9,70.3667,83.46,44,4,13.11,IN,1618367458
346,Half Moon Bay,37.4636,-122.4286,55.0,81,75,8.05,US,1618367409
347,Bonoua,5.2741,-3.595,82.4,83,20,4.61,CI,1618367459
348,Saurimo,-9.6608,20.3916,63.46,95,96,3.31,AO,1618367459
349,Grand Gaube,-20.0064,57.6608,79.0,78,77,5.01,MU,1618367460
350,Douentza,14.9951,-2.9517,84.76,14,4,3.6,ML,1618367460
351,Jaciara,-15.9653,-54.9683,70.14,72,0,2.73,BR,1618367426
352,Tshikapa,-6.4167,20.8,67.46,96,91,1.12,CD,1618367461
353,João Monlevade,-19.81,-43.1736,63.82,92,62,2.24,BR,1618367462
354,Bourail,-21.5667,165.4833,75.36,89,100,9.33,NC,1618367462
355,Barinitas,8.7622,-70.4111,77.67,71,99,3.09,VE,1618367462
356,Cap Malheureux,-19.9842,57.6142,79.0,78,78,5.01,MU,1618367463
357,Vágur,61.4732,-6.8119,43.92,86,36,12.08,FO,1618367463
358,Nome,64.5011,-165.4064,35.01,86,90,10.36,US,1618367464
359,Teya,60.3778,92.6267,29.39,80,99,10.09,RU,1618367464
360,Krasnoborsk,61.5598,45.934,47.3,89,98,7.2,RU,1618367465
361,Jintūr,19.6167,76.7,86.29,33,78,7.61,IN,1618367465
362,Nikkō,36.75,139.6167,63.23,70,93,3.29,JP,1618367466
363,Karratha,-20.7377,116.8463,85.59,61,95,12.3,AU,1618367466
364,Babu,24.4167,111.5167,75.61,82,100,3.67,CN,1618367467
365,Lorengau,-2.0226,147.2712,84.18,68,84,11.21,PG,1618367467
366,Kajaani,64.2273,27.7285,32.0,74,0,6.91,FI,1618367468
367,Elko,41.0002,-115.5012,45.0,48,100,3.0,US,1618367350
368,Malatya Province,38.5,38.0,33.8,93,0,2.3,TR,1618367469
369,Yaan,7.3833,8.5667,76.46,72,100,9.4,NG,1618367469
370,Usinsk,65.9939,57.5281,36.43,99,100,11.74,RU,1618367470
371,Sept-Îles,50.2001,-66.3821,34.0,93,1,4.05,CA,1618367470
372,Yakeshi,49.2833,120.7333,37.13,35,100,14.85,CN,1618367471
373,Kazachinskoye,57.6953,93.2761,34.68,81,100,11.48,RU,1618367471
374,Mildura,-34.2,142.15,73.0,35,10,13.8,AU,1618367471
375,Haimen,23.1935,116.6142,73.4,64,75,6.71,CN,1618367472
376,Meadow Lake,34.8014,-106.5436,63.0,50,75,26.46,US,1618367405
377,La Rioja,42.25,-2.5,51.01,87,0,0.43,ES,1618367355
378,Kuala Terengganu,5.3302,103.1408,84.2,79,20,3.44,MY,1618367473
379,Darnah,32.767,22.6367,67.28,40,100,12.75,LY,1618367473
380,Bilma,18.6853,12.9164,80.2,8,0,9.46,NE,1618367474
381,Palora,-1.7,-77.9333,66.61,97,100,1.97,EC,1618367474
382,Yangi Marg`ilon,40.4272,71.7189,51.8,54,70,4.61,UZ,1618367475
383,Irbeyskoye,55.6428,95.4522,34.12,83,94,14.2,RU,1618367475
384,Celestún,20.8667,-90.4,86.79,53,0,15.64,MX,1618367475
385,Taksimo,56.3444,114.8794,33.4,49,100,15.21,RU,1618367476
386,Crişan,44.9667,29.4667,46.4,87,75,10.36,RO,1618367476
387,Kingsville,27.5159,-97.8561,78.8,83,1,5.75,US,1618367477
388,Ca Mau,9.1769,105.15,93.24,46,69,3.8,VN,1618367424
389,Yuci,37.6803,112.7319,48.2,40,0,6.71,CN,1618367478
390,Dubbo,-32.25,148.6167,75.2,27,5,14.97,AU,1618367478
391,Sitka,57.0531,-135.33,44.6,76,90,14.97,US,1618367479
392,Beyneu,45.3167,55.2,57.33,36,2,13.78,KZ,1618367479
393,Lompoc,34.6391,-120.4579,53.6,66,27,8.05,US,1618367479
394,Havre-St-Pierre,50.2334,-63.5986,32.0,93,1,2.3,CA,1618367369
395,Portland,45.5234,-122.6762,62.01,18,3,1.99,US,1618367390
396,Māngrol,21.1167,70.1167,82.58,48,2,12.24,IN,1618367482
397,Río Gallegos,-51.6226,-69.2181,60.8,51,0,27.63,AR,1618367484
398,Safaga,26.7292,33.9365,62.6,34,0,5.75,EG,1618367484
399,Katsuura,35.1333,140.3,69.01,88,75,17.27,JP,1618367485
400,Namatanai,-3.6667,152.4333,84.09,64,32,5.88,PG,1618367485
401,Kambove,-10.8764,26.5969,60.17,95,100,6.71,CD,1618367486
402,Shatsk,54.0258,41.7119,45.63,72,91,7.81,RU,1618367486
403,Pacifica,37.6138,-122.4869,53.01,81,75,8.05,US,1618367241
404,Onega,63.9061,38.1404,37.96,96,100,3.89,RU,1618367487
405,Oga,46.4631,10.347,33.01,92,0,1.14,IT,1618367488
406,Vestmannaeyjar,63.4427,-20.2734,43.68,89,73,5.41,IS,1618367489
407,Chilca,-12.5211,-76.7372,69.01,82,100,11.5,PE,1618367489
408,Porto Walter,-8.2686,-72.7439,71.85,98,75,2.06,BR,1618367490
409,Grand-Bourg,15.8835,-61.3148,78.8,89,0,3.44,GP,1618367490
410,Callaway,30.153,-85.5699,70.0,83,1,11.5,US,1618367491
411,Lamar,33.6668,-95.5836,68.0,64,1,6.91,US,1618367491
412,Jizan,17.3333,42.6667,78.8,78,0,4.61,SA,1618367221
413,Inuvik,68.3499,-133.7218,37.4,48,61,6.91,CA,1618367229
414,Adrar,20.5022,-10.0711,77.09,16,71,18.39,MR,1618367492
415,Tuatapere,-46.1333,167.6833,53.01,90,97,3.0,NZ,1618367493
416,Bariloche,-41.1456,-71.3082,57.0,61,0,5.75,AR,1618367226
417,Salamanca,40.8333,-6.0,48.2,100,90,5.7,ES,1618367494
418,Beira,-19.8436,34.8389,75.2,83,20,7.05,MZ,1618367494
419,Lagoa,39.05,-27.9833,59.99,91,33,14.45,PT,1618367494
420,Makushino,55.2103,67.2442,38.21,88,78,12.84,RU,1618367495
421,Poum,-20.2333,164.0167,78.6,82,99,14.18,NC,1618367495
422,Smithers,54.7804,-127.1743,55.4,33,40,9.22,CA,1618367496
423,Esso,55.9333,158.7,26.65,90,100,9.04,RU,1618367496
424,Thai Binh,20.45,106.3333,80.6,83,75,8.05,VN,1618367497
425,Devils Lake,48.1128,-98.8651,24.8,86,90,16.11,US,1618367497
426,Santa Marta,11.2408,-74.199,84.99,74,75,17.27,CO,1618367497
427,São José de Ribamar,-2.5619,-44.0542,80.6,89,0,8.05,BR,1618367498
428,Tromsø,69.6496,18.957,32.0,80,75,19.57,NO,1618367498
429,Arkhara,49.4212,130.0842,31.75,35,100,15.39,RU,1618367499
430,Shitanjing,39.2342,106.3439,46.8,31,2,7.43,CN,1618367499
431,Laguna,38.421,-121.4238,66.2,45,1,17.27,US,1618367500
432,Lapeer,43.0514,-83.3188,50.0,50,1,5.75,US,1618367500
433,Biltine,14.5333,20.9167,76.12,9,35,14.0,TD,1618367501
434,Taft,31.7471,54.2088,66.2,42,40,4.61,IR,1618367501
435,Maunabo,18.0072,-65.8993,75.99,96,95,1.01,PR,1618367502
436,Mezen',65.8522,44.24,41.85,97,100,7.65,RU,1618367502
437,Shingū,33.7333,135.9833,66.2,63,75,20.71,JP,1618367503
438,Sur,22.5667,59.5289,84.78,42,36,4.0,OM,1618367504
439,Matara,5.9485,80.5353,82.78,75,64,0.89,LK,1618367477
440,Camaçari,-12.6975,-38.3242,80.6,65,20,8.05,BR,1618367505
441,Stornoway,58.2093,-6.3865,33.8,100,47,1.14,GB,1618367506
442,Ishigaki,24.3448,124.1572,77.0,83,75,13.8,JP,1618367506
443,Kiryat Gat,31.61,34.7642,53.01,77,0,5.97,IL,1618367507
444,Lufilufi,-13.8745,-171.5986,87.8,70,75,6.91,WS,1618367507
445,Pinheiro Machado,-31.5783,-53.3811,55.99,96,0,10.0,BR,1618367508
446,Djibouti,11.5,42.5,72.09,76,39,6.64,DJ,1618367508
447,Faya,18.3851,42.4509,59.0,72,0,0.34,SA,1618367509
448,Seoul,37.5683,126.9778,53.6,35,0,3.44,KR,1618367443
449,Kilindoni,-7.9139,39.6668,76.06,91,100,14.16,TZ,1618367510
450,Whitefish,48.4111,-114.3376,42.8,28,90,8.05,US,1618367398
451,Aden,12.7794,45.0367,79.95,76,9,12.73,YE,1618367273
452,Sobolevo,54.4299,31.8996,48.6,94,97,4.7,RU,1618367511
453,Bilibino,68.0546,166.4372,10.96,56,80,0.76,RU,1618367512
454,Kurchum,48.5722,83.6542,44.04,45,2,14.25,KZ,1618367512
455,Ternate,0.8,127.4,81.95,78,60,9.26,ID,1618367513
456,Meulaboh,4.1363,96.1285,82.6,69,89,3.56,ID,1618367513
457,Jambi City,-1.6,103.6167,82.89,74,98,2.51,ID,1618367514
458,Alacranes,22.7675,-81.5675,69.8,73,20,6.91,CU,1618367514
459,Tezu,27.9167,96.1667,90.64,20,31,3.33,IN,1618367515
460,El Bagre,7.5927,-74.8086,76.82,96,100,0.58,CO,1618367515
461,Rio Grande,-32.035,-52.0986,55.0,96,0,7.09,BR,1618367516
462,Carmaux,44.051,2.158,39.0,60,100,5.39,FR,1618367516
463,Port-Gentil,-0.7193,8.7815,80.73,77,100,2.39,GA,1618367517
464,Rurrenabaque,-14.4413,-67.5278,70.23,92,73,1.7,BO,1618367517
465,Pekan,3.4836,103.3996,86.0,70,20,1.68,MY,1618367518
466,La Ronge,55.1001,-105.2842,33.8,34,13,3.44,CA,1618367518
467,Gaya,24.7833,85.0,80.6,24,0,5.82,IN,1618367314
468,Kulhudhuffushi,6.6221,73.07,83.16,68,41,2.8,MV,1618367519
469,Pangai,-19.8,-174.35,82.4,61,20,4.61,TO,1618367519
470,Saint-Pierre,-21.3393,55.4781,78.8,73,0,6.91,RE,1618367520
471,Severo-Kuril'sk,50.6789,156.125,40.14,90,100,28.05,RU,1618367520
472,Dawlatabad,36.4141,64.9053,65.34,29,36,2.33,AF,1618367521
473,Kodīnar,20.7903,70.7031,86.38,30,5,10.87,IN,1618367521
474,Berlevåg,70.8578,29.0864,28.13,67,100,14.03,NO,1618367521
475,Punta Gorda,26.9298,-82.0454,75.2,64,1,7.02,US,1618367522
476,Khasan,42.4308,130.6434,37.06,61,100,6.82,RU,1618367523
477,Toamasina,-18.1667,49.3833,71.6,100,75,4.61,MG,1618367523
478,Tautira,-17.7333,-149.15,84.2,70,75,11.5,PF,1618367524
479,Catuday,16.2923,119.8062,82.9,65,88,4.85,PH,1618367524
480,Egvekinot,66.3167,-179.1667,10.72,84,100,9.53,RU,1618367524
481,Mount Gambier,-37.8333,140.7667,64.4,59,75,24.16,AU,1618367525
482,Launceston,-41.45,147.1667,64.99,59,75,23.02,AU,1618367525
483,Lata,40.1629,-8.3327,61.0,94,100,1.01,PT,1618367526
484,Kamiiso,41.8167,140.65,44.6,45,75,17.27,JP,1618367526
485,Harper,4.375,-7.7169,80.13,84,92,5.26,LR,1618367526
486,Nador,35.174,-2.9287,60.8,88,90,8.05,MA,1618367527
487,Czersk,53.7959,17.9765,36.0,79,100,5.75,PL,1618367527
488,San Miguel de Cozumel,20.5083,-86.9458,81.0,83,40,4.61,MX,1618367528
489,Waingapu,-9.6567,120.2641,83.8,71,6,8.52,ID,1618367529
490,Qaqortoq,60.7167,-46.0333,33.8,69,1,3.44,GL,1618367529
491,Kemijärvi,66.7131,27.4306,27.54,93,99,6.89,FI,1618367530
492,Kankipādu,16.45,80.7833,82.4,69,20,4.61,IN,1618367531
493,Kieta,-6.2167,155.6333,80.29,83,100,8.93,PG,1618367531
494,Sinjai,-5.1241,120.253,84.34,70,76,6.13,ID,1618367531
495,Pennāgaram,12.1333,77.9,80.6,69,40,2.3,IN,1618367532
496,Tsiroanomandidy,-18.7667,46.0333,63.5,94,100,2.19,MG,1618367532
497,Baoqing,46.3317,132.2111,38.1,31,100,16.51,CN,1618367533
498,Mitú,1.1983,-70.1733,71.56,98,100,1.86,CO,1618367533
499,Lima,-12.0432,-77.0282,66.2,82,99,11.5,PE,1618367470
500,Batemans Bay,-35.7167,150.1833,71.01,54,65,1.01,AU,1618367534
501,Itarema,-2.9248,-39.9167,78.3,86,61,8.84,BR,1618367534
502,Sompeta,18.9333,84.6,87.82,55,26,8.95,IN,1618367535
503,Kapit,2.0167,112.9333,87.71,63,62,0.6,MY,1618367535
504,Zaria,11.1113,7.7227,71.65,18,37,6.8,NG,1618367536
505,Virginia Beach,36.8529,-75.978,50.0,76,20,4.61,US,1618367460
506,Changde,29.0464,111.6783,54.23,90,100,14.43,CN,1618367537
507,Tudela,42.0617,-1.6045,46.4,87,100,4.61,ES,1618367537
508,Unna,51.5333,7.6833,33.01,86,12,4.61,DE,1618367537
509,Chiang Kham,19.5233,100.3,88.0,54,100,2.82,TH,1618367538
510,Sulangan,11.1373,123.7228,81.91,78,15,9.19,PH,1618367538
511,Campo Formoso,-10.5075,-40.3214,67.26,73,15,3.69,BR,1618367539
512,Ola,59.5833,151.2833,21.51,63,100,26.13,RU,1618367539
513,Kewanee,41.2456,-89.9248,46.99,59,25,1.01,US,1618367540
514,Pochutla,15.7432,-96.4661,80.01,75,1,1.99,MX,1618367541
515,Viedma,-40.8135,-62.9967,69.03,44,1,14.79,AR,1618367541
516,Khotiv,50.3307,30.4684,48.2,81,75,4.47,UA,1618367542
517,Svetlaya,46.5389,138.3297,37.15,34,87,15.59,RU,1618367542
518,Mārkāpur,15.7333,79.2833,85.17,60,10,5.99,IN,1618367469
519,Ardabil,38.2498,48.2933,50.18,48,4,7.25,IR,1618367543
520,Falam,22.9167,93.6833,82.33,17,12,2.64,MM,1618367543
521,Rhyl,53.3196,-3.4886,41.0,94,12,1.99,GB,1618367544
522,Saint Anthony,45.0205,-93.218,32.0,86,90,11.5,US,1618367544
523,Port Hedland,-20.3167,118.5667,89.6,48,3,10.36,AU,1618367545
524,Bashmakovo,53.2133,43.0342,44.49,69,88,8.37,RU,1618367545
525,Nazca,-14.8333,-74.95,72.75,64,100,1.63,PE,1618367546
526,Northam,51.0333,-4.2167,39.0,95,8,1.99,GB,1618367547
527,Morón,-34.6534,-58.6198,66.0,92,0,4.34,AR,1618367547
528,Panguna,-6.3164,155.4848,75.2,81,100,3.8,PG,1618367549
529,Fuente de Oro,3.4594,-73.6128,74.35,85,100,2.01,CO,1618367549
530,Puerto Madryn,-42.7692,-65.0385,67.15,56,3,15.19,AR,1618367550
531,Yuxia,34.0615,108.6291,60.01,71,0,6.71,CN,1618367551
532,Yerbogachën,61.2767,108.0108,28.33,88,100,8.93,RU,1618367552
533,Nioro,13.35,-15.75,75.87,54,1,7.52,GM,1618367552
534,Sampit,-2.5333,112.95,89.42,56,90,1.36,ID,1618367553
535,Terra Santa,-2.1042,-56.4869,74.73,96,100,3.38,BR,1618367553
536,Pekalongan,-6.8886,109.6753,84.51,69,58,3.58,ID,1618367553
537,Skogn,63.7,11.2,35.6,80,75,11.5,NO,1618367554
538,Kharp,66.8014,65.8081,24.55,90,69,5.55,RU,1618367554
539,Muros,42.7762,-9.0603,52.0,95,100,4.45,ES,1618367555
540,Sanguéya,10.7,-14.3667,74.73,82,44,1.86,GN,1618367556
541,Rawson,-43.3002,-65.1023,66.74,56,3,17.96,AR,1618367556
542,Methala,10.2166,76.2166,77.0,94,75,2.3,IN,1618367557
543,Quatre Cocos,-20.2078,57.7625,79.0,88,40,8.05,MU,1618367557
544,Nosy Varika,-20.5833,48.5333,71.94,93,100,6.82,MG,1618367558
545,Caniço,32.6333,-16.85,62.6,88,20,8.63,PT,1618367558
546,Barra de Tecoanapa,16.5167,-98.75,78.06,72,0,5.84,MX,1618367559
547,Atar,20.5169,-13.0499,75.72,23,100,11.52,MR,1618367560
548,Kidal,18.4411,1.4078,83.26,10,1,4.12,ML,1618367560
549,Solnechnyy,50.7214,136.6319,22.71,75,100,8.19,RU,1618367560
550,Bereda,43.2686,-7.5406,48.0,100,51,1.99,ES,1618367561
551,Saint-Augustin,51.226,-58.6502,33.82,80,9,7.31,CA,1618367561
552,Port Blair,11.6667,92.75,85.68,64,96,4.25,IN,1618367461
553,Leer,8.3018,30.1418,78.21,47,83,3.49,SS,1618367562
554,Ponta Delgada,37.7333,-25.6667,60.8,94,75,10.36,PT,1618367562
555,Arrondissement de Vesoul,47.5833,5.8333,28.0,100,10,6.67,FR,1618367563
556,Tegul'det,57.3064,88.1667,35.28,83,100,9.48,RU,1618367563
557,Kribi,2.95,9.9167,74.68,89,100,8.25,CM,1618367564
558,Kropotkin,45.4375,40.5756,47.7,97,100,10.83,RU,1618367564
559,Rockport,28.0206,-97.0544,75.99,100,75,8.05,US,1618367565
560,Puerto Madero,14.7208,-92.4215,80.6,83,20,5.14,MX,1618367565
561,Havelock,34.8791,-76.9013,59.0,94,1,6.91,US,1618367280
562,Sioux Lookout,50.1001,-91.917,35.6,93,90,3.44,CA,1618367566
563,São Raimundo Nonato,-9.0153,-42.6994,77.36,59,60,3.69,BR,1618367566
564,Oyem,1.5995,11.5793,67.73,97,100,2.1,GA,1618367567
565,Wajir,1.7471,40.0573,76.39,82,58,8.57,KE,1618367567
566,Ubari,26.5921,12.7805,66.11,40,0,11.36,LY,1618367568
567,Córdoba,-31.4135,-64.1811,62.01,94,0,8.05,AR,1618367509
568,San-Pédro,4.7485,-6.6363,79.12,88,69,3.71,CI,1618367568
569,Mount Isa,-20.7333,139.5,91.4,21,1,9.22,AU,1618367470
570,Lumphat,13.4878,106.9816,92.32,49,95,3.31,KH,1618367569
571,Atherton,53.5237,-2.4935,39.99,83,66,2.33,GB,1618367570
572,Bijie,27.3125,105.2942,53.56,87,100,3.18,CN,1618367570
573,Pangnirtung,66.1451,-65.7125,14.47,96,100,3.49,CA,1618367572
574,Piaçabuçu,-10.4056,-36.4344,77.4,82,10,6.85,BR,1618367573
575,Birao,10.2849,22.7882,70.48,10,11,3.13,CF,1618367573
576,Umm Kaddadah,13.6017,26.6876,67.44,12,63,12.86,SD,1618367574
577,Hobyo,5.3505,48.5268,80.96,66,99,8.3,SO,1618367575
578,Clifton,40.8584,-74.1638,57.99,62,90,2.46,US,1618367298
579,Otjiwarongo,-20.4637,16.6477,60.31,41,0,15.37,NA,1618367576
580,Béziers,43.3476,3.219,39.2,70,0,6.91,FR,1618367576
581,Chāndbāli,20.7833,86.7667,90.21,48,30,11.27,IN,1618367577
